eid,instance,shader_instance_id,vertex_count,index_count,triangle_count,vertex_stride,index_stride,topology,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z
3336,0,0,1713,7980,2660,112,2,Topology.TriangleList,-550.6899516439393,84.50554746237844,-462.1535454491785,-528.5429170863915,98.87458385630852,-433.4897390267748
3336,1,1,1713,7980,2660,112,2,Topology.TriangleList,-531.1861404641536,86.45609868635746,-461.10223610476174,-494.72858561431246,104.00032178023014,-434.145411157489
3336,2,2,1713,7980,2660,112,2,Topology.TriangleList,-544.2205915048328,82.11466890359968,-480.8278277246695,-508.939500006676,99.09290595938555,-449.637474980237
